"Date Opened","Time Opened","Opening Price","Legs","Premium","Closing Price","Date Closed","Time Closed","Avg. Closing Cost","Reason For Close","P/L","P/L %","No. of Contracts","Funds at Close","Margin Req.","Strategy","Opening Commissions + Fees","Closing Commissions + Fees","Opening Short/Long Ratio","Closing Short/Long Ratio","Opening VIX","Closing VIX","Gap","Movement","Max Profit","Max Loss"
"2023-02-22","15:15:00",3982.45,"53 Feb 23 3995 C BTO 12.80 | 53 Feb 23 4045 C STO 1.70",-1135,4019.89,"2023-02-23","09:35:00",-2505,"Exited at Specified Time",72338.64,120.25374449339206,53,684801.72,60155,"",188.68,82.68,0.133,0.122,22.61,21.47,4.49,-19.38,137.44,-11.89
"2023-02-21","15:15:00",4001.12,"51 Feb 22 4015 C BTO 14.00 | 51 Feb 22 4065 C STO 2.05",-1220,4003.14,"2023-02-22","09:35:00",-905,"Exited at Specified Time",-16326.12,-26.239344262295084,51,612463.08,62220,"",181.56,79.56,0.146,0.079,22.93,23.18,-26.74,-51.23,13.52,-23.77
"2023-02-09","15:15:00",4086.96,"59 Feb 10 4100 C BTO 12.70 | 59 Feb 10 4150 C STO 1.90",-1105,4075.92,"2023-02-10","09:35:00",-605,"Exited at Specified Time",-29802.08,-45.71221719457014,59,628789.2,65195,"",210.04,92.04,0.15,0.06,20.62,21.32,26.39,-57.29,4.52,-47.51
"2023-02-08","15:15:00",4113.31,"50 Feb 9 4125 C BTO 13.50 | 50 Feb 9 4175 C STO 2.25",-1150,4151.56,"2023-02-09","09:35:00",-2655,"Exited at Specified Time",74994,130.42434782608697,50,658591.28,57500,"",178,78,0.167,0.156,19.95,19.21,-10.53,-40.16,139.13,-7.39
"2023-02-06","15:15:00",4106.89,"45 Feb 7 4120 C BTO 16.00 | 45 Feb 7 4170 C STO 3.10",-1315,4101.14,"2023-02-07","09:35:00",-940,"Exited at Specified Time",-17105.4,-28.906463878327,45,583597.28,59175,"",160.2,70.2,0.194,0.168,19.54,19.93,-16.91,-12.68,8.75,-26.62
"2023-01-30","15:15:00",4021.71,"57 Jan 31 4035 C BTO 11.85 | 57 Jan 31 4085 C STO 1.55",-1055,4028.8,"2023-01-31","09:35:00",-1045,"Exited at Specified Time",-861.84,-1.433175355450237,57,600702.68,60135,"",202.92,88.92,0.131,0.066,20.14,20.13,-21.29,-27.56,10.9,-23.22
"2023-01-18","15:15:00",3945.01,"63 Jan 19 3955 C BTO 11.00 | 63 Jan 19 4005 C STO 0.85",-1040,3910.03,"2023-01-19","09:35:00",-100,"Exited at Specified Time",-59542.56,-90.87692307692308,63,601564.52,65520,"",224.28,98.28,0.077,0.038,20.08,21.12,11.28,-57.24,0,-88.46
"2023-01-17","15:15:00",3993.86,"60 Jan 18 4005 C BTO 11.60 | 60 Jan 18 4055 C STO 0.95",-1090,4004.69,"2023-01-18","09:35:00",-1105,"Exited at Specified Time",592.8,0.9064220183486238,60,661107.08,65400,"",213.6,93.6,0.082,0.042,19.34,19.07,0.19,-5.42,6.88,-28.44
"2023-01-09","15:15:00",3897.08,"58 Jan 10 3910 C BTO 12.85 | 58 Jan 10 3960 C STO 1.85",-1125,3903.55,"2023-01-10","09:35:00",-1095,"Exited at Specified Time",-2036.96,-3.1217777777777775,58,660514.28,65250,"",206.48,90.48,0.144,0.115,21.85,22.03,15.74,-13.74,15.11,-27.11
"2023-01-05","15:15:00",3814.95,"44 Jan 6 3835 C BTO 18.50 | 44 Jan 6 3885 C STO 4.55",-1420,3848.14,"2023-01-06","09:35:00",-2150,"Exited at Specified Time",31894.72,51.04788732394366,44,662551.24,62480,"",156.64,68.64,0.246,0.16,22.51,21.8,-13.23,-24.79,53.17,-25.7
"2023-01-03","15:15:00",3820.72,"49 Jan 4 3835 C BTO 14.70 | 49 Jan 4 3885 C STO 2.60",-1235,3838.36,"2023-01-04","09:35:00",-1735,"Exited at Specified Time",24249.12,40.071255060728745,49,630656.52,60515,"",174.44,76.44,0.177,0.148,22.82,23.08,13.79,-32.57,51.82,-16.6
