"Date Opened","Time Opened","Opening Price","Legs","Premium","Closing Price","Date Closed","Time Closed","Avg. Closing Cost","Reason For Close","P/L","P/L %","No. of Contracts","Funds at Close","Margin Req.","Strategy","Opening Commissions + Fees","Closing Commissions + Fees","Opening Short/Long Ratio","Closing Short/Long Ratio","Opening VIX","Closing VIX","Gap","Movement","Max Profit","Max Loss"
"2024-11-21","09:32:00",5946.42,"23 Nov 22 5925 P BTO 13.45 | 23 Nov 22 5865 P STO 3.10",-1045,5959.2,"2024-11-21","15:01:00",-500,"Stop Loss",-12652.76,-52.64306220095693,23,1203488.44,24035,"",81.88,35.88,0.23,0.209,15.76,16.67,23.47,5.84,183.25,-51.2
"2024-11-07","09:32:00",5950.21,"22 Nov 8 5930 P BTO 13.95 | 22 Nov 8 5860 P STO 3.20",-1085,5970.05,"2024-11-07","14:33:00",-515,"Stop Loss",-12652.64,-53.00645161290323,22,1216141.2,23870,"",78.32,34.32,0.229,0.167,15.36,15.27,18.17,3,5.99,-51.61
"2024-10-24","09:32:00",5807.27,"26 Oct 25 5790 P BTO 12.40 | 26 Oct 25 5730 P STO 3.05",-945,5814.01,"2024-10-24","15:55:00",-505,"Exited at Specified Time",-11573.12,-47.1026455026455,26,1228793.84,24570,"",92.56,40.56,0.246,0.169,19.11,19.15,20.38,-10.53,72.49,-45.5
"2024-10-17","09:32:00",5874.15,"29 Oct 18 5855 P BTO 11.20 | 29 Oct 18 5800 P STO 2.90",-840,5844.42,"2024-10-17","15:55:00",-1580,"Exited at Specified Time",21311.52,87.4857142857143,29,1240366.96,24360,"",103.24,45.24,0.259,0.147,19.29,19.06,33.15,-1.47,116.67,-2.38
"2024-09-26","09:32:00",5761.69,"34 Sep 27 5745 P BTO 9.30 | 34 Sep 27 5695 P STO 2.35",-705,5743.98,"2024-09-26","15:55:00",-1020,"Exited at Specified Time",10535.92,43.95460992907802,34,1219055.44,23970,"",121.04,53.04,0.253,0.159,15.22,15.54,39.96,-0.53,182.98,0
"2024-09-19","09:32:00",5708.36,"20 Sep 20 5690 P BTO 15.80 | 20 Sep 20 5610 P STO 4.00",-1190,5728.11,"2024-09-19","13:42:00",-575,"Stop Loss",-12402.4,-52.1109243697479,20,1208519.52,23800,"",71.2,31.2,0.253,0.312,16.31,16.87,84.37,5.73,63.45,-50.84
"2024-08-29","09:32:00",5612.44,"22 Aug 30 5590 P BTO 14.40 | 22 Aug 30 5530 P STO 3.35",-1115,5632.24,"2024-08-29","10:36:00",-530,"Stop Loss",-12982.64,-52.92556053811659,22,1220921.92,24530,"",78.32,34.32,0.233,0.2,15.8,15.29,15.12,5.14,9.87,-51.57
"2024-08-22","09:32:00",5639.7,"19 Aug 23 5615 P BTO 15.30 | 19 Aug 23 5550 P STO 3.40",-1200,5565.76,"2024-08-22","15:55:00",-3655,"Exited at Specified Time",46547.72,204.15666666666667,19,1233904.56,22800,"",67.64,29.64,0.222,0.307,15.93,17.67,16.92,1.93,220.42,-2.08
"2024-08-15","09:32:00",5512.2,"24 Aug 16 5485 P BTO 12.60 | 24 Aug 16 5415 P STO 2.90",-980,5528.1,"2024-08-15","11:13:00",-480,"Stop Loss",-12122.88,-51.54285714285714,24,1187356.84,23520,"",85.44,37.44,0.23,0.269,15.2,14.95,45.92,11.07,19.39,-50
"2024-08-01","09:32:00",5547.1,"15 Aug 2 5515 P BTO 18.35 | 15 Aug 2 5440 P STO 4.10",-1435,5433.96,"2024-08-01","15:55:00",-5065,"Exited at Specified Time",54373.2,252.60487804878045,15,1199479.72,21525,"",53.4,23.4,0.223,0.41,16.25,18.47,15.54,9.26,297.91,-28.92
"2024-07-18","09:32:00",5599.52,"23 Jul 19 5580 P BTO 12.00 | 23 Jul 19 5530 P STO 2.85",-925,5538.28,"2024-07-18","15:55:00",-2980,"Exited at Specified Time",47147.24,221.60864864864865,23,1145106.52,21275,"",81.88,35.88,0.238,0.321,14.4,16.07,20.29,-9.04,281.62,-38.38
"2024-06-20","09:32:00",5493.11,"26 Jun 21 5480 P BTO 10.40 | 26 Jun 21 5430 P STO 2.25",-825,5480.67,"2024-06-20","15:55:00",-1080,"Exited at Specified Time",6496.88,30.28848484848485,26,1097959.28,21450,"",92.56,40.56,0.216,0.145,12.65,13.29,12.96,-6.88,166.67,-32.12
"2024-06-13","09:32:00",5435.45,"27 Jun 14 5420 P BTO 10.45 | 27 Jun 14 5375 P STO 2.40",-815,5435.04,"2024-06-13","15:55:00",-425,"Exited at Specified Time",-10668.24,-48.480981595092025,27,1091462.4,22005,"",96.12,42.12,0.23,0.121,12.09,11.94,20.9,-6.48,123.31,-47.24
"2024-05-23","09:32:00",5333.47,"25 May 24 5320 P BTO 10.60 | 25 May 24 5275 P STO 2.50",-820,5269.37,"2024-05-23","15:55:00",-3450,"Exited at Specified Time",65622,320.10731707317075,25,1102130.64,20500,"",89,39,0.236,0.329,11.87,12.96,33.25,-6.79,348.17,0
"2024-05-02","09:32:00",5053.08,"16 May 3 5025 P BTO 16.00 | 16 May 3 4960 P STO 3.30",-1280,5056.86,"2024-05-02","15:55:00",-1030,"Exited at Specified Time",-4081.92,-19.93125,16,1036508.64,20480,"",56.96,24.96,0.206,0.096,15.07,14.88,30.93,3.76,104.69,-44.53
"2024-04-18","09:32:00",5032.07,"17 Apr 19 5010 P BTO 15.20 | 17 Apr 19 4950 P STO 3.50",-1180,5009.53,"2024-04-18","15:55:00",-1605,"Exited at Specified Time",7137.96,35.58305084745763,17,1040590.56,20060,"",60.52,26.52,0.23,0.152,17.89,18.02,9.31,0.55,69.07,-49.58
"2024-04-11","09:32:00",5168.96,"16 Apr 12 5145 P BTO 15.65 | 16 Apr 12 5080 P STO 3.40",-1235,5183.68,"2024-04-11","13:09:00",-600,"Stop Loss",-10241.92,-51.83157894736842,16,1033452.6,19760,"",56.96,24.96,0.217,0.176,15.93,15.33,12.31,-3.99,69.64,-50.61
"2024-04-04","09:32:00",5250.8,"22 Apr 5 5235 P BTO 11.20 | 22 Apr 5 5190 P STO 2.70",-860,5159.09,"2024-04-04","15:55:00",-3520,"Exited at Specified Time",58407.36,308.7069767441861,22,1043694.52,18920,"",78.32,34.32,0.241,0.546,14,16.39,32.56,6.75,338.37,-25
"2024-03-21","09:32:00",5250.63,"25 Mar 22 5240 P BTO 9.70 | 25 Mar 22 5200 P STO 2.05",-775,5245.12,"2024-03-21","15:55:00",-740,"Exited at Specified Time",-1003,-5.176774193548387,25,985287.16,19375,"",89,39,0.211,0.162,12.69,13.01,28.81,-2.8,26.45,-36.13
"2024-03-14","09:32:00",5172.95,"21 Mar 15 5160 P BTO 11.80 | 21 Mar 15 5105 P STO 2.65",-925,5148.65,"2024-03-14","15:55:00",-1625,"Exited at Specified Time",14592.48,75.12216216216217,21,986290.16,19425,"",74.76,32.76,0.225,0.187,13.58,14.41,9.83,-2.19,211.89,-9.19
"2024-03-07","09:32:00",5136.98,"17 Mar 8 5120 P BTO 13.90 | 17 Mar 8 5065 P STO 2.75",-1125,5156.17,"2024-03-07","13:12:00",-545,"Stop Loss",-9947.04,-52.01066666666667,17,971697.68,19125,"",60.52,26.52,0.198,0.159,14.28,14.34,27.62,4.6,13.78,-50.67
"2024-02-29","09:32:00",5092.61,"21 Mar 1 5080 P BTO 11.40 | 21 Mar 1 5035 P STO 2.30",-920,5096.93,"2024-02-29","15:55:00",-555,"Exited at Specified Time",-7772.52,-40.2304347826087,21,981644.72,19320,"",74.76,32.76,0.202,0.144,13.4,13.39,15.6,7.25,107.61,-39.67
"2024-02-22","09:32:00",5041.57,"23 Feb 23 5025 P BTO 11.00 | 23 Feb 23 4980 P STO 2.70",-840,5061.78,"2024-02-22","10:29:00",-385,"Stop Loss",-10582.76,-54.77619047619048,23,989417.24,19320,"",81.88,35.88,0.245,0.21,14.32,14.15,57.03,2.74,1.19,-52.98
