time,open,high,low,close,Volume,Plot,Plot,Plot,
1762547100,6703.55,6710.68,6699.27,6706.84,,42.01275248315929,20,80,0
1762547400,6706.77,6714.08,6706.77,6710.14,,42.43063306258436,20,80,0
1762547700,6710.11,6715.49,6710.11,6715.28,,42.889406943263666,20,80,0
1762548000,6715.3,6720.56,6710.91,6719.93,,43.4525910773078,20,80,0
1762548300,6720.14,6720.14,6707.02,6707.02,,44.02136589144763,20,80,0
1762548600,6706.53,6720.61,6706.53,6717.34,,44.648457680329486,20,80,0
1762548900,6717.31,6730.11,6717.31,6729.02,,45.38271240150478,20,80,0
1762549200,6729.2,6729.2,6728.8,6728.8,,46.23386221786899,20,80,0
1762785000,6785.36,6802.1,6785.36,6799.01,,46.80270686353058,20,80,0
1762785300,6799.25,6809.08,6799.25,6808.98,,47.42923438336502,20,80,0
1762785600,6809.16,6811.28,6806.08,6808.36,,48.13333957726242,20,80,0
1762785900,6808.57,6812.79,6806.1,6806.41,,48.98143032694562,20,80,0
1762786200,6806.32,6806.9,6800.96,6804.23,,49.899646953887014,20,80,0
1762786500,6804.4,6810.82,6802.73,6806.36,,50.84862552450379,20,80,0
1762786800,6805.52,6808.96,6804.33,6807.62,,51.82466255882846,20,80,0
1762787100,6807.65,6809.65,6805.66,6807.39,,52.8701351903257,20,80,0
1762787400,6807.62,6812.35,6805.63,6806.04,,53.94554095896569,20,80,0
1762787700,6806.13,6809.68,6802.52,6803.71,,54.97956989361717,20,80,0
1762788000,6803.78,6810.43,6803.28,6810.43,,55.907043934270334,20,80,0
1762788300,6810.55,6812.17,6808.32,6808.72,,56.8577670518063,20,80,0
1762788600,6808.95,6809.93,6805.53,6807.44,,57.81595594450759,20,80,0
1762788900,6807.52,6810.06,6800.97,6801.59,,58.87108851271097,20,80,0
1762789200,6801.69,6802.07,6797.96,6798.13,,59.98877412568794,20,80,0
1762789500,6798.02,6801.24,6795.83,6796.8,,61.089595575169014,20,80,0
1762789800,6796.91,6796.91,6784.04,6789.11,,62.25703900479228,20,80,0
1762790100,6789.18,6789.18,6782.08,6782.83,,63.38120695000922,20,80,0
1762790400,6782.76,6782.76,6776.59,6777.54,,64.38784355537302,20,80,0
1762790700,6777.47,6783.47,6772.38,6781.52,,65.26984933305044,20,80,0
1762791000,6781.25,6787.97,6781.25,6783.87,,66.04228007670392,20,80,0
1762791300,6784.02,6786.74,6780,6784.1,,66.74950699223825,20,80,0
1762791600,6783.82,6784.98,6775.53,6778.51,,67.42403144506227,20,80,0
1762791900,6778.43,6780.11,6775.85,6776.06,,68.02982118685237,20,80,0
1762792200,6775.91,6783.04,6775.91,6778.66,,68.55035224683958,20,80,0
1762792500,6778.72,6779.28,6775.04,6775.53,,69.02244471441337,20,80,0
1762792800,6775.75,6777.89,6770.56,6777.62,,69.44808598134148,20,80,0
1762793100,6777.88,6778.55,6773.86,6777.86,,69.83486933431826,20,80,0
1762793400,6777.99,6780.55,6775.35,6776.23,,70.20248105463293,20,80,0
1762793700,6776.22,6786.4,6775.42,6786.29,,70.52508363134997,20,80,0
1762794000,6786.24,6795.28,6784.53,6794.48,,70.81763448731519,20,80,0
1762794300,6794.44,6797.45,6792.03,6792.68,,71.13362695994851,20,80,0
1762794600,6792.59,6793.25,6786.61,6786.86,,71.48058715612872,20,80,0
1762794900,6786.84,6791.74,6785.49,6790.56,,71.81764038313835,20,80,0
1762795200,6790.48,6794.77,6789.98,6791.77,,72.1694148838949,20,80,0
1762795500,6791.66,6797.59,6791.66,6794.19,,72.4974944716845,20,80,0
1762795800,6794.35,6799.84,6794.35,6799.38,,72.81046054921596,20,80,0
1762796100,6799.39,6802.41,6799.03,6802.06,,73.13200281518213,20,80,0
1762796400,6802.01,6808.1,6801.57,6804.21,,73.44503425053696,20,80,0
1762796700,6804.22,6809.43,6804.22,6808.28,,73.74608728012632,20,80,0
1762797000,6808.27,6814.22,6808.27,6814.16,,74.04808865991652,20,80,0
1762797300,6814.1,6816.76,6813.66,6814.02,,74.35991311899481,20,80,0
1762797600,6814.07,6817.27,6813.65,6815.09,,74.68274827373652,20,80,0
1762797900,6815.04,6817.33,6814.53,6816.59,,75.00730902836581,20,80,0
1762798200,6816.57,6817.79,6815.97,6816.57,,75.33558013521603,20,80,0
1762798500,6816.63,6819.81,6816.59,6818.39,,75.65917478496166,20,80,0
1762798800,6818.48,6818.73,6816.46,6818.65,,75.98425674404743,20,80,0
1762799100,6818.63,6819.09,6813.94,6814.28,,76.3215941316874,20,80,0
1762799400,6814.34,6820.98,6814.34,6819.68,,76.62338035764996,20,80,0
1762799700,6819.69,6822.52,6819.64,6822.28,,76.91689301928534,20,80,0
1762800000,6822.25,6823.48,6820.98,6821.87,,77.21837429213868,20,80,0
1762800300,6821.92,6824.64,6820.89,6824.52,,77.5065092345757,20,80,0
1762800600,6824.55,6824.91,6821.61,6822.34,,77.77854389559685,20,80,0
1762800900,6822.3,6822.37,6817.81,6818.03,,78.04341170430347,20,80,0
1762801200,6818.01,6822.08,6817.88,6821.85,,78.2941951777895,20,80,0
1762801500,6821.88,6824.5,6821.28,6823.08,,78.53170630229269,20,80,0
1762801800,6823.11,6823.87,6818.57,6821.22,,78.77050895787167,20,80,0
1762802100,6821.13,6823.83,6819.91,6823.08,,78.99944981303962,20,80,0
1762802400,6823.07,6824.27,6822.43,6823.78,,79.23304530209334,20,80,0
1762802700,6823.81,6829.11,6823.56,6827.45,,79.45621486058909,20,80,0
1762803000,6827.56,6828.4,6825.61,6825.61,,79.69433052829541,20,80,0
1762803300,6825.52,6827.57,6825.11,6827.25,,79.93132551931723,20,80,0
1762803600,6827.24,6829.93,6826.91,6829.04,,80.16681652085539,20,80,0
1762803900,6829.19,6830.52,6828.43,6829.63,,80.39357269028977,20,80,0
1762804200,6829.64,6835.53,6829.17,6834.81,,80.60153880759121,20,80,0
1762804500,6834.86,6835.91,6831.47,6832.06,,80.84707106990872,20,80,0
1762804800,6832.23,6836.63,6832.1,6836.42,,81.08125031525245,20,80,0
1762805100,6836.34,6837.89,6834.83,6836.84,,81.31783375130505,20,80,0
1762805400,6836.83,6840.38,6836.62,6839.75,,81.5537550074593,20,80,0
1762805700,6839.73,6839.73,6833.93,6835.41,,81.80651085334657,20,80,0
1762806000,6835.42,6835.95,6831.45,6833.87,,82.05790515999827,20,80,0
1762806300,6833.76,6836.48,6832.99,6832.99,,82.28797209109008,20,80,0
1762806600,6832.97,6833.1,6830.35,6832.21,,82.51145076220755,20,80,0
1762806900,6832.12,6839.33,6831.61,6838.09,,82.69872519696462,20,80,0
1762807200,6838.08,6838.08,6835.47,6837.1,,82.88190618820082,20,80,0
1762807500,6837.01,6840.4,6835.76,6839.7,,83.0541838819136,20,80,0
